Designator,Description,Manufacturer Part Number,Purchase Link,Quantity
POWER1,Lithium Battery Charging Board,N/A,https://www.aliexpress.com/item/Free-Shipping-1PCS-5V-Micro-USB-1A-18650-Lithium-Battery-Charging-Board-With-Protection-Charger-Module/32476957358.html,1
R2,RES SMD 1.5K OHM 0.1% 1/4W 0805,ERJ-PB6B1501V,https://www.digikey.ca/product-detail/en/panasonic-electronic-components/ERJ-PB6B1501V/P20612CT-ND/6214867,1
R1,RES 3.9 OHM 1% 1/8W 0805,RMCF0805FT3R90,https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RMCF0805FT3R90/RMCF0805FT3R90CT-ND/2418397,1
R3,RES 100K OHM 5% 1/4W 0805,RPC0805JT100KCT,https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RPC0805JT100K/RPC0805JT100KCT-ND/5766007,1
C1,CAP TANT 100UF 4V 20% 1206,RPC0805JT100K,https://www.digikey.ca/product-detail/en/avx-corporation/F930G107MAA/478-8134-1-ND/4005954,1
R4,RES 150 OHM 1% 1/4W 0805,RNCP0805FTD150R,https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RNCP0805FTD150R/RNCP0805FTD150RCT-ND/2240550,1
C3,CAP CER 1UF 25V X7R 0805,C0805C105K3RACTU,https://www.digikey.ca/product-detail/en/kemet/C0805C105K3RACTU/399-8004-1-ND/3471727,2
C4,CAP CER 1UF 25V X7R 0805,C0805C105K3RACTU,https://www.digikey.ca/product-detail/en/kemet/C0805C105K3RACTU/399-8004-1-ND/3471727,2
C2,CAP CER 220PF 50V X7R 0805,C0805C221M5RACTU,https://www.digikey.ca/product-detail/en/kemet/C0805C221M5RACTU/399-8039-1-ND/3471762,1
R10,Replacement Volume Switch for Game boy,N/A,https://www.aliexpress.com/item/Replacement-Volume-Switch-for-Game-boy-for-GBA-GBC-Motherboard-Potentiomete-100pcs-lot/32830491244.html?spm=a2g0s.8937460.0.0.g6VhGD,1
J3,CONN HEADER PH SIDE 2POS 2MM SMD,S2B-PH-SM4-TB(LF)(SN,https://www.digikey.ca/product-detail/en/jst-sales-america-inc/S2B-PH-SM4-TB(LF)(SN)/455-1749-1-ND/926846,1
2.4TFT-ILI9341,2.4 inch SPI Serial LCD,N/A,https://www.aliexpress.com/item/2-4-inch-SPI-Serial-LCD-Without-Touch-ILI9341-4IO-Port-Can-Be-Driven-18-pin/32854563773.html,1
U1,IC AMP AUDIO PWR 1W MONO 8SOIC,LM4875MX-NOPB,https://www.digikey.ca/product-detail/en/texas-instruments/LM4875MX-NOPB/296-35282-1-ND/3738990,1
PI1,CONN BERGSTIK II .100" DR SMD,95157-440LF,https://www.digikey.ca/product-detail/en/amphenol-fci/95157-440LF/609-3124-ND/1824561,1
LED1,LED RED CLEAR 0603 SMD,LTST-C191KRKT,https://www.digikey.ca/product-detail/en/lite-on-inc/LTST-C191KRKT/160-1447-1-ND/386836,1
X1,CONN JACK STEREO 3.5MM R/A,CP1-3525NG-GR-ND,https://www.digikey.ca/product-detail/en/cui-inc/SJ1-3525NG-GR/CP1-3525NG-GR-ND/2295990,1
U$1,SWITCH SLIDE SPDT 300MA 4V,MA12RTR,https://www.digikey.ca/product-detail/en/apem-inc/MA12RTR/679-1847-1-ND/1973774,1
J2,SPEAKER 8OHM 250MW TOP PORT 80DB,PSR-20F08S-JQ,https://www.digikey.ca/product-detail/en/mallory-sonalert-products-inc/PSR-20F08S-JQ/458-1122-ND/2071438,1
J4, CONN RCPT USB MICRO B SMD R/A,ZX62-B-5PA(33,https://www.digikey.ca/product-detail/en/hirose-electric-co-ltd/ZX62-B-5PA(33)/H125270CT-ND/5994756,1
